,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,cape town,-33.93,18.42,286.48,93,0,1.5,ZA,1595360585
89,hasaki,35.73,140.83,296.15,100,75,2.6,JP,1595361167
90,kambove,-10.88,26.6,287.86,50,2,1.17,CD,1595361167
91,roald,62.58,6.13,283.15,81,75,3.6,NO,1595361127
92,grindavik,63.84,-22.43,284.15,62,75,2.1,IS,1595361092
93,constantine,36.37,6.61,302.15,37,20,2.6,DZ,1595361167
94,bambanglipuro,-7.95,110.28,297.06,88,98,2.66,ID,1595361167
95,sitka,57.05,-135.33,287.15,87,90,2.6,US,1595361168
96,belyy yar,53.6,91.39,291.15,88,40,3.94,RU,1595361168
97,bereda,43.27,-7.54,291.48,91,49,3.13,ES,1595361168
98,punta arenas,-53.15,-70.92,272.15,92,22,3.6,CL,1595361168
99,lompoc,34.64,-120.46,290.37,77,62,5.1,US,1595360917
100,sao joao da barra,-21.64,-41.05,299.15,69,0,5.1,BR,1595361168
101,the pas,53.83,-101.25,297.15,53,20,7.7,CA,1595361123
102,chokurdakh,70.63,147.92,295.34,45,100,5.38,RU,1595361169
103,jalu,29.03,21.55,300.5,40,0,8.21,LY,1595361169
104,yushu,44.8,126.53,289.55,57,26,2.74,CN,1595361169
105,cockburn town,21.46,-71.14,304.15,62,40,6.2,TC,1595361029
106,saldanha,-33.01,17.94,286.15,87,0,1,ZA,1595361169
107,balkanabat,39.51,54.37,309.07,13,0,6.88,TM,1595361170
108,kimberley,-28.73,24.76,278.15,38,0,0.5,ZA,1595361170
109,bandarbeyla,9.49,50.81,298.37,76,1,14.84,SO,1595361170
110,klaksvik,62.23,-6.59,284.15,81,4,4.6,FO,1595361170
111,provideniya,64.38,-173.3,280.15,87,90,3,RU,1595361038
112,khani,41.96,42.96,295.15,94,90,2.6,GE,1595361131
113,airai,-8.93,125.41,285.6,97,92,1.61,TL,1595361171
114,nanortalik,60.14,-45.24,284.21,72,81,7.74,GL,1595361007
115,honiara,-9.43,159.95,297.2,78,81,2.06,SB,1595361078
116,port-cartier,50.03,-66.87,296.15,40,75,3.6,CA,1595361117
117,atbasar,51.8,68.33,289.11,70,82,4.9,KZ,1595361171
118,puerto gaitan,4.31,-72.08,303.31,62,87,3.14,CO,1595361171
119,tiksi,71.69,128.87,282.27,86,98,2.35,RU,1595361072
120,new norfolk,-42.78,147.06,280.93,85,100,0.89,AU,1595361172
121,bluff,-46.6,168.33,277.04,83,99,1.34,NZ,1595361172
122,padang,-0.95,100.35,298.67,78,99,2.03,ID,1595361106
123,morehead,37.27,-87.18,306.15,62,75,2.1,US,1595361172
124,shadegan,30.65,48.66,309.15,47,0,3.1,IR,1595361172
125,isangel,-19.55,169.27,293.5,66,19,4.91,VU,1595361111
126,gold coast,-28,153.43,288.15,62,90,3.6,AU,1595361109
127,arraial do cabo,-22.97,-42.03,300.15,73,0,4.6,BR,1595360997
128,berezovyy,51.67,135.7,289.22,90,99,0.31,RU,1595361173
129,bredasdorp,-34.53,20.04,287.15,87,0,3.6,ZA,1595361063
130,bengkulu,-3.8,102.27,298.61,82,99,2.53,ID,1595361173
131,aksu,41.12,80.26,298.65,32,100,4.9,CN,1595361173
132,port-gentil,-0.72,8.78,297.15,88,20,5.34,GA,1595361174
133,xuddur,4.12,43.89,295.85,75,11,9.73,SO,1595361174
134,dombarovskiy,50.76,59.54,295.3,69,45,3.7,RU,1595361174
135,belaya gora,68.53,146.42,296.06,47,53,1.19,RU,1595361174
136,hermanus,-34.42,19.23,283.15,95,0,1.17,ZA,1595361060
137,gat,31.61,34.76,299.82,83,0,0.21,IL,1595360944
138,eucaliptus,-17.58,-67.52,289.94,21,5,2.3,BO,1595361175
139,tura,25.52,90.22,296.47,99,100,2.82,IN,1595361122
140,hithadhoo,-0.6,73.08,302,76,64,4.03,MV,1595361029
141,mujiayingzi,42.12,118.78,291.95,76,75,0.98,CN,1595361175
142,taltal,-25.4,-70.48,290.37,58,100,1.68,CL,1595361089
143,traralgon,-38.18,146.53,282.59,95,95,2.24,AU,1595361114
144,panama city,8.99,-79.52,302.15,74,75,5.1,PA,1595361050
145,bani,18.28,-70.33,304.15,66,75,4.1,DO,1595361176
146,ahipara,-35.17,173.17,284.72,77,63,10.17,NZ,1595361176
147,puerto ayacucho,5.66,-67.62,303.15,58,40,3.1,VE,1595361176
148,norman wells,65.28,-126.83,284.15,93,90,5.7,CA,1595361176
149,victoria,22.29,114.16,300.93,83,2,2.68,HK,1595361128
150,grado,43.39,-6.07,293.15,82,40,1.5,ES,1595361177
151,mayumba,-3.43,10.66,295.26,88,9,3.16,GA,1595361147
152,sorland,67.67,12.69,285.15,81,40,3.6,NO,1595361177
153,vestmannaeyjar,63.44,-20.27,284.41,77,100,3.76,IS,1595361059
154,yerbogachen,61.28,108.01,285.42,91,100,2.57,RU,1595361177
